question,answer,options,meta_info,answer_idx,metamap_phrases
"A 62-year old female comes to the physician because of vaginal spotting and urinary urgency for the past 4 days. She has had no fever, abdominal pain, or diarrhea. Menopause occurred at 52 years of age. Her last Pap smear 1 year ago was normal. She has hypertension, hypercholesterolemia, and diabetes. Medications include atorvastatin, hydrochlorothiazide, metformin, and aspirin. She is sexually active with her husband. Her temperature is 37°C (98.6°F), pulse is 95/min, respirations are 12/min, and blood pressure is 155/65 mm Hg. Pelvic exam demonstrates a 4 x 3 cm firm, immobile erythematous mass on the right inner vaginal wall. Which of the following is the most appropriate next step in management?",Biopsy of the mass,"{'A': 'Pap smear', 'B': 'Biopsy of the mass', 'C': 'Incision and drainage', 'D': 'Urine gonorrhea and chlamydia testing'}",step2&3,B,"['62 year old female', 'physician', 'vaginal spotting', 'urinary urgency', 'past 4 days', 'fever', 'abdominal pain', 'diarrhea', 'Menopause occurred', 'years', 'age', 'last Pap smear 1 year', 'normal', 'hypertension', 'hypercholesterolemia', 'diabetes', 'Medications include atorvastatin', 'hydrochlorothiazide', 'metformin', 'aspirin', 'sexually active', 'husband', 'temperature', '98', 'pulse', '95 min', 'respirations', 'min', 'blood pressure', '65 mm Hg', 'Pelvic exam demonstrates', '4', 'firm', 'immobile erythematous mass', 'right inner vaginal', 'following', 'most appropriate next step', 'management']"
"A 29-year-old man comes in for evaluation of infertility. He has been trying to conceive for over 2 years with his wife and previous evaluation of his wife's fertility revealed no abnormalities. Physical exam reveals a tall man with long extremities, sparse body hair, gynecomastia, and small testes. Laboratory studies reveal increased serum follicle-stimulating hormone concentration and an increased estradiol:testosterone ratio. Genetic studies reveal a cytogenetic abnormality. If this abnormality was inherited from the patient's father, at which stage of spermatogenesis did this error most likely occur?",Primary spermatocyte,"{'A': 'Primary spermatocyte', 'B': 'Secondary spermatocyte', 'C': 'Spermatid', 'D': 'Spermatozoon'}",step1,A,"['29 year old man', 'evaluation', 'infertility', 'to', 'years', 'wife', 'previous evaluation', ""wife's fertility revealed"", 'abnormalities', 'Physical exam reveals', 'tall man', 'long extremities', 'sparse body hair', 'gynecomastia', 'small testes', 'Laboratory studies reveal increased serum follicle-stimulating hormone concentration', 'increased estradiol testosterone ratio', 'Genetic studies reveal', 'cytogenetic abnormality', 'abnormality', 'inherited', ""patient's father"", 'stage', 'spermatogenesis', 'error', 'likely occur']"
"A 60-year-old female presents to her gynecologist with vaginal bleeding. She underwent menopause ten years prior. She has a past medical history of hypertension and diabetes mellitus. On physical examination, her uterus is uniformly enlarged. Ultrasound reveals a thickened endometrial stripe and tissue biopsy reveals neoplastic endometrial cells. A workup for metastatic disease is negative and the gynecologist recommends a laparoscopic hysterectomy. During the procedure, the surgeon ligates multiple vessels in order to remove the entire uterus. In the immediate postoperative period, the patient develops left-sided flank pain and oliguria. Serum creatinine is found to be 1.4 mg/dl whereas it was 1.0 mg/dl prior to the operation. Renal ultrasound is normal. Urinalysis is notable for hematuria. Ligation of which of the following vessels most likely contributed to this patient’s condition?",Uterine artery,"{'A': 'Artery of Sampson', 'B': 'Ovarian artery', 'C': 'Superior vesical artery', 'D': 'Uterine artery'}",step1,D,"['60 year old female presents', 'gynecologist', 'vaginal bleeding', 'menopause ten years prior', 'past medical', 'diabetes mellitus', 'physical examination', 'uterus', 'enlarged', 'Ultrasound reveals', 'thickened endometrial stripe', 'tissue biopsy reveals neoplastic endometrial cells', 'workup', 'metastatic disease', 'negative', 'gynecologist recommends', 'laparoscopic hysterectomy', 'procedure', 'surgeon', 'multiple vessels', 'order to remove', 'entire uterus', 'immediate postoperative period', 'patient', 'left sided flank pain', 'oliguria', 'Serum creatinine', 'found to', '1.4 mg/dl', '1 mg/dl prior to', 'operation', 'Renal', 'normal', 'Urinalysis', 'notable', 'hematuria', 'Ligation', 'following vessels', 'likely contributed', 'patients condition']"
"A 16-year-old female presents to her primary care physician due to lack of menstruation. She has never had a period and is anxious that she is not “keeping up” with her friends. She states that her breasts began developing when she was 13, and she had a growth spurt around the same time. Review of systems reveals that she has also been getting headaches every few months over the last year with some photosensitivity and nausea each time. Ibuprofen relieves her symptoms. The patient is a competitive ice skater and has never been sexually active. Her mother has a history of migraine headaches, and her older sister has a history of bipolar disorder. Both underwent menarche at age 15. At this visit, the patient’s temperature is 98.6°F (37.0°C), pulse is 70/min, blood pressure is 118/65 mmHg, and respirations are 13/min. Her body mass index is 23.8 kg/m^2. Cardiopulmonary and abdominal exams are unremarkable. Both breasts are Tanner IV with no expressable discharge. Pelvic and axillary hair growth is also Tanner IV. The patient is unable to tolerate a full pelvic exam, but the part of the vaginal canal that is examined is unremarkable. Laboratory studies are ordered and are below:

Serum:
Na+: 139 mEq/L
K+: 4.1 mEq/L
Cl-: 100 mEq/L
HCO3-: 24 mEq/L
Urea nitrogen: 12 mg/dL
Glucose: 73 mg/dL
Creatinine: 0.9 mg/dL
Ca2+: 9.7 mg/dL
Mg2+: 1.7 mEq/L
AST: 11 U/L
ALT: 11 U/L
Follicle Stimulating Hormone (FSH): 16.2 mIU/mL (4.7-21.5 mIU/ml)
Estrogen: 240 pg/mL (64-357 pg/mL)

Abdominal ultrasound is performed and shows a normal uterus and ovaries. Which of the following is the most likely diagnosis?",Vaginal septum,"{'A': 'Hyperprolactinemia', 'B': 'Imperforate hymen', 'C': 'Vaginal septum', 'D': 'Normal development'}",step2&3,C,"['year old female presents', 'primary care physician due to lack of menstruation', 'never', 'period', 'anxious', 'not keeping', 'friends', 'states', 'breasts began', 'growth spurt', 'same time', 'Review of systems reveals', 'getting headaches', 'few months', 'year', 'photosensitivity', 'nausea', 'time', 'Ibuprofen relieves', 'symptoms', 'patient', 'competitive ice', 'never', 'sexually active', 'mother', 'history of migraine headaches', 'older sister', 'history of bipolar disorder', 'menarche at age', 'visit', 'patients temperature', '98', 'pulse', '70 min', 'blood pressure', '65 mmHg', 'respirations', 'min', 'body mass index', '23', 'kg/m', 'Cardiopulmonary', 'abdominal exams', 'unremarkable', 'breasts', 'Tanner IV', 'discharge', 'Pelvic', 'axillary', 'Tanner IV', 'patient', 'unable to', 'full pelvic exam', 'part of', 'vaginal canal', 'examined', 'unremarkable', 'Laboratory studies', 'ordered', 'Serum', 'Na', 'mEq/L K', '4.1 mEq/L Cl', '100 mEq/L HCO3', 'mEq/L Urea nitrogen', 'mg/dL Glucose', 'mg/dL Creatinine', '0.9 mg/dL Ca2', '9', 'mg dL Mg2', '1.7 mEq/L AST', 'U/L ALT', 'U/L Follicle Stimulating Hormone', 'mIU mL', 'ml', 'Estrogen', 'pg/mL', '64', 'pg/mL', 'Abdominal ultrasound', 'performed', 'shows', 'normal uterus', 'ovaries', 'following', 'most likely diagnosis']"
"A 55-year-old woman is found to have an abnormal mass on routine mammography. The mass is biopsied and cytology results are diagnostic for invasive ductal adenocarcinoma that is estrogen receptor positive. The patient is started on chemotherapy and ultimately has the mass resected. She is taking tamoxifen and has regular outpatient follow up appointments to monitor for any recurrence of cancer. The patient has a past medical history of asthma, obesity, and a uterine leimyoma which was definitively treated last year. Her last menstrual period was at the age of 47. The patient's vital signs and exam are unremarkable. Which of the following is a potential complication that could occur in this patient?",Deep venous thrombosis,"{'A': 'Deep venous thrombosis', 'B': 'Eruption of seborrheic keratoses', 'C': 'Increased bleeding', 'D': 'Osteoporosis'}",step2&3,A,"['55 year old woman', 'found to', 'abnormal mass', 'routine mammography', 'mass', 'biopsied', 'cytology results', 'diagnostic', 'invasive ductal adenocarcinoma', 'estrogen receptor positive', 'patient', 'started', 'chemotherapy', 'mass resected', 'taking tamoxifen', 'regular outpatient follow up appointments to monitor', 'recurrence', 'cancer', 'patient', 'past medical', 'obesity', 'uterine', 'treated last year', 'last menstrual period', 'age', ""patient's vital signs"", 'exam', 'unremarkable', 'following', 'potential complication', 'occur', 'patient']"
"A 65-year-old man presents to the emergency department with back pain. The patient states that he has gradually worsening back pain that seems to have worsened after moving furniture the other day. He also states that while he walks, he feels numbness and weakness in his legs. The only time the patient states his back pain is improved is when he is riding his bike or pushing a cart at the grocery store. The patient has a past medical history of osteoporosis, dyslipidemia, and diabetes. He drinks 3 alcoholic drinks every day and has a 44 pack-year smoking history. His temperature is 99.5°F (37.5°C), blood pressure is 157/108 mmHg, pulse is 90/min, respirations are 17/min, and oxygen saturation is 98% on room air. Physical exam is notable for a non-tender spine with normal mobility in all 4 directions. Radiography of the spine and basic labs are ordered. Which of the following is the most likely diagnosis?",Spinal stenosis,"{'A': 'Compression fracture', 'B': 'Herniated nucleus pulposus', 'C': 'Musculoskeletal strain', 'D': 'Spinal stenosis'}",step2&3,D,"['65 year old man presents', 'emergency department', 'back pain', 'patient states', 'worsening back pain', 'to', 'worsened', 'moving furniture', 'day', 'states', 'walks', 'feels numbness', 'weakness', 'legs', 'only time', 'patient states', 'back pain', 'improved', 'bike', 'pushing', 'cart', 'grocery store', 'patient', 'past medical', 'dyslipidemia', 'diabetes', 'drinks 3 alcoholic drinks', 'day', 'pack-year smoking history', 'temperature', '99', 'blood pressure', 'mmHg', 'pulse', '90 min', 'respirations', 'min', 'oxygen saturation', '98', 'room air', 'Physical exam', 'notable', 'non-tender spine', 'normal mobility', 'directions', 'Radiography of', 'spine', 'basic labs', 'ordered', 'following', 'most likely diagnosis']"
"A mother brings her 18-year-old daughter to your office because she has not menstruated yet. They recently immigrated from another country, and do not have any previous medical records. The adolescent girl looks relatively short, but otherwise looks healthy. She has no complaints except for mild intermittent lower abdominal pain for the past year. On physical examination, vitals are within normal limits. There is the presence of axillary hair, breast development, and pubic hair at Tanner stage 5. You explain to the mother and the patient that you need to perform a complete vaginal examination, however, both of them declined the procedure and would prefer that lab test be performed. Her labs are significant for the following:
FSH 7 mIU/mL
Normal values:  
   Follicular phase 3.1 – 7.9 mIU/mL
   Ovulation peak 2.3 – 18.5 mIU/mL
   Luteal phase 1.4 – 5.5 mIU/mL
   Postmenopausal 30.6 – 106.3 mIU/mL
Estradiol 28 pg/mL
Normal values:  
   Mid-follicular phase 27 – 123 pg/mL
   Periovulatory 96 – 436 pg/mL
   Mid-luteal phase 49 – 294 pg/mL
   Postmenopausal 0 – 40 pg/mL
Testosterone 52 ng/dL, 40 – 60 ng/dL
What is the most likely diagnosis of this patient?",Muellerian agenesis,"{'A': 'Muellerian agenesis', 'B': 'Hyperprolactinemia', 'C': 'Turner syndrome', 'D': 'Androgen insensitivity'}",step1,A,"['mother', 'year old daughter', 'office', 'not', 'recently', 'country', 'not', 'previous medical records', 'adolescent girl looks', 'short', 'looks healthy', 'complaints', 'mild intermittent lower abdominal pain', 'past year', 'physical examination', 'normal limits', 'presence', 'axillary hair', 'breast development', 'pubic hair', 'Tanner stage 5', 'mother', 'patient', 'need to perform', 'complete vaginal examination', 'procedure', 'lab test', 'performed', 'labs', 'significant', 'following', 'mIU/mL Normal values', 'Follicular phase', 'mL', 'Ovulation peak', 'mL', 'Luteal phase', 'Postmenopausal', 'Estradiol', 'pg', 'Normal values', 'Mid follicular 27', 'pg/mL', '96', 'luteal phase', 'Postmenopausal 0', '40', 'Testosterone', 'ng/dL', '40', '60 ng/dL', 'most likely diagnosis', 'patient']"
"A 21-year-old female presents to the office after a health screening in which she was found to have high blood pressure. At the office, the blood pressure is 168/114 mm Hg. You have seen the patient in the past for amenorrhea and infertility issues, but she denies taking any medication at this time. On examination, the patient is short and normal weight but has a webbed neck. Which of the following is the most likely cause of the elevated blood pressure?",Central fusion of the inferior poles of the kidneys ,"{'A': 'Central fusion of the inferior poles of the kidneys ', 'B': 'Genetic predisposition to essential hypertension', 'C': 'Neuroendocrine tumor of the adrenal gland', 'D': 'Oral contraceptive use'}",step1,A,"['21-year-old female presents', 'office', 'health screening', 'found to', 'high blood pressure', 'office', 'blood pressure', 'mm Hg', 'seen', 'patient', 'past', 'amenorrhea', 'infertility issues', 'denies taking', 'medication', 'time', 'examination', 'patient', 'short', 'normal weight', 'webbed neck', 'following', 'most likely cause', 'elevated blood pressure']"
A 65-year-old woman comes to the physician for a routine bone mineral density screening. She does not have any children. Menopause was at age 55. Her mother died of breast cancer at the age of 48 years. She has hypertension for which she takes ramipril. Dual-energy x-ray absorptiometry at the femoral neck shows a T-score of -2.7 SD. The physician considers treatment with raloxifene. This medication would put her at increased risk of developing which of the following conditions?,Pulmonary embolism,"{'A': 'Pulmonary embolism', 'B': 'Cellulitis', 'C': 'Breast cancer', 'D': 'Hypercholesterolemia'}",step1,A,"['65 year old woman', 'physician', 'routine bone mineral density screening', 'not', 'children', 'Menopause', 'age 55', 'mother died of breast cancer', 'age', '48 years', 'hypertension', 'takes ramipril', 'Dual-energy x-ray absorptiometry', 'femoral neck shows a score', '2 7 SD', 'physician considers treatment', 'raloxifene', 'medication', 'put', 'increased risk', 'following conditions']"
A 28-year-old woman presents to her primary care physician for evaluation of amenorrhea. Her last period occurred 4 months ago but she has not had sex in the last year and home pregnancy tests have come back negative. She first started having periods at age 13 and her periods have been unremarkable up until they stopped 4 months ago. Her past medical history is significant for radius and ulnar forearm fractures that she sustained in a car crash 3 months ago. She didn't see the car coming and has had increasing difficulty noticing objects in her peripheral vision. She also notes having recurrent headaches 5 months ago. Otherwise she has been healthy with no previous pregnancies. Physical exam reveals galactorrhea and temporal field visual defects. Which of the following mechanisms is most likely responsible for this patient's amenorrhea?,Inhibition of gonadotropin-releasing hormone release,"{'A': 'Inhibition of gonadotropin-releasing hormone release', 'B': 'Intrauterine scar tissue accumulation', 'C': 'Nondisjunction of chromosomes', 'D': 'Nutritional imbalance'}",step1,A,"['year old woman presents', 'primary care physician', 'evaluation', 'amenorrhea', 'last period occurred 4 months', 'not', 'sex', 'year', 'home pregnancy tests', 'back negative', 'first started', 'periods', 'age', 'periods', 'unremarkable', 'stopped 4 months', 'past medical history', 'significant', 'radius', 'ulnar forearm fractures', 'sustained', 'car crash', 'months', 'see', 'car', 'increasing difficulty', 'objects', 'peripheral vision', 'notes', 'recurrent headaches', 'months', 'healthy', 'previous pregnancies', 'Physical exam reveals galactorrhea', 'temporal field visual defects', 'following mechanisms', 'most likely responsible', ""patient's amenorrhea""]"
