Question,Answer,Age Group,Region,Topic,Keywords,Document Id,LLM Used,Set
My periods haven't come for a few months. Is that normal?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
My wife's period has not come in a few months. Is this normal?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
Has my daughter's period been regular over the past few months?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
Is it abnormal for a woman to miss periods for a few months?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
"I have not been able to get periods for the last few months, is this normal?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
"My regular periods have been absent for some weeks, is this usual?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
"It's been many months since I had my last periods, is this okay?","No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
I haven't seen my periods in four months now and it is making me anxious. Is this a normal situation?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
I did not get my periods for more than three months now. Is there something wrong with me?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
It's been over five months since I started having regular periods. Is it something I should be worried about?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
I haven't had my periods for some time now. Is this common?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
I haven't gotten my periods in a few months. Is this expected?,"No, missing your period for 3 or more months in a row isn't normal. This is called amenorrhea, and it's best to talk to your doctor to find out why.",All,Both,Irregular Periods,"Periods, Missing",D1,Gemini,2
