id,question,opa,opb,opc,opd,cop,choice_type,exp,subject_name,topic_name
f2974fa8-3bff-4b4b-b544-4fee7eebade4,On which day LH & FSH should be measured ?,1-3rd day,7th day,14th day,10th day,-1,single,,Gynaecology & Obstetrics,
c5db9b96-6df7-429d-ad14-d98a4511de84,Failure rate of Pomeroy's method of tubal ligation is ?,0.20%,0.40%,0.60%,0.80%,-1,single,,Gynaecology & Obstetrics,
d63cd672-f3cb-4181-83af-ce91d9eda768,Feilization usually occurs in which pa of fallopian tube?,Fimbrial end,Ampulla,Interstitium,Isthmus,-1,multi,,Gynaecology & Obstetrics,
d72e5fcf-5c80-46c0-a7ec-95362e337c7c,False about MgSo4 is ?,Not used as antihypeensive,Its dose is different for eclampsia and preeclampsia,Deep tendon reflexes is monitored for toxicity,It acts as a membrane stabilizer and neuroprotector,-1,multi,,Gynaecology & Obstetrics,
42098579-aab4-4f55-bbcc-c38812ecf574,Most common site of ectopic pregnancy is ?,Ovary,Fallopian tube,Peritoneum,Cervix,-1,multi,,Gynaecology & Obstetrics,
4f9d7580-fc1a-4f0b-a3cf-d67c414a31d6,Not associated with endometrial hyperplasia ?,PCOD,Glucose intolerance,H,Unopposed exposure to progesterone,-1,single,,Gynaecology & Obstetrics,
ed590d2f-4c61-46aa-9fc3-e6324e4ecc2c,Definitive treatment of adenomyosis is ?,OC pills,NSAIDS,Endometrial ablation,Hysterectomy,-1,single,,Gynaecology & Obstetrics,
8daa9e97-3cc8-4584-87e4-f14c70f53d37,Which of these steps is followed first for the management of shoulder dystocia after McRobes maneuver?,Sharp flexion of hip joints towards abdomen,Supra pubic pressure,90 degree rotation of posterior shoulder,Emergency c-section,-1,multi,,Gynaecology & Obstetrics,
fb097b4b-3770-4447-8af5-9849f37699d6,Treatment of choice in patient with infeility & endometriosis ?,IUI,Surgery,Danozol,Ovulation induction,-1,single,,Gynaecology & Obstetrics,
d7998c7c-7002-49fa-9e74-e56e398be1b5,Triad of symptoms of endometriosis are all except ?,Infeility,Dysmenorrhea,Dyspareunia,Cyclical hematuria,-1,multi,,Gynaecology & Obstetrics,
